N;Approx
1106;0.231313
1107;0.230617
1108;0.229924
1109;0.229233
1110;0.228545
1111;0.227858
1112;0.227174
1113;0.226492
1114;0.225812
1115;0.225134
1116;0.224459
1117;0.223786
1118;0.223115
1119;0.222446
1120;0.221779
1121;0.221114
1122;0.220452
1123;0.219792
1124;0.219133
1125;0.218477
1126;0.217823
1127;0.217171
1128;0.216522
1129;0.215874
1130;0.215228
1131;0.214585
1132;0.213943
1133;0.213304
1134;0.212666
1135;0.212031
1136;0.211397
1137;0.210766
1138;0.210136
1139;0.209509
1140;0.208884
1141;0.20826
1142;0.207639
1143;0.207019
1144;0.206401
1145;0.205786
1146;0.205172
1147;0.20456
1148;0.203951
1149;0.203343
1150;0.202737
1151;0.202133
1152;0.20153
1153;0.20093
1154;0.200331
1155;0.199735
1156;0.19914
1157;0.198547
1158;0.197956
1159;0.197367
1160;0.19678
1161;0.196194
1162;0.19561
1163;0.195029
1164;0.194448
1165;0.19387
1166;0.193294
1167;0.192719
1168;0.192146
1169;0.191575
1170;0.191005
1171;0.190438
1172;0.189872
1173;0.189307
1174;0.188745
1175;0.188184
1176;0.187625
1177;0.187068
1178;0.186512
1179;0.185958
1180;0.185406
1181;0.184856
1182;0.184307
1183;0.18376
1184;0.183214
1185;0.18267
1186;0.182128
1187;0.181587
1188;0.181048
1189;0.180511
1190;0.179975
1191;0.179441
1192;0.178909
1193;0.178378
1194;0.177849
1195;0.177321
1196;0.176795
1197;0.176271
1198;0.175748
1199;0.175226
1200;0.174707
1201;0.174188
1202;0.173672
1203;0.173156
1204;0.172643
1205;0.172131
1206;0.17162
1207;0.171111
1208;0.170604
1209;0.170098
1210;0.169593
1211;0.16909
1212;0.168589
1213;0.168089
1214;0.16759
1215;0.167093
1216;0.166597
1217;0.166103
1218;0.165611
1219;0.165119
1220;0.16463
1221;0.164141
1222;0.163654
1223;0.163169
1224;0.162685
1225;0.162202
1226;0.161721
1227;0.161241
1228;0.160763
1229;0.160285
1230;0.15981
1231;0.159336
1232;0.158863
1233;0.158391
1234;0.157921
1235;0.157452
1236;0.156985
1237;0.156519
1238;0.156054
1239;0.155591
1240;0.155128
1241;0.154668
1242;0.154208
1243;0.15375
1244;0.153293
1245;0.152838
1246;0.152384
1247;0.151931
1248;0.151479
1249;0.151029
1250;0.15058
1251;0.150133
1252;0.149686
1253;0.149241
1254;0.148797
1255;0.148355
1256;0.147913
1257;0.147473
1258;0.147034
1259;0.146597
1260;0.14616
1261;0.145725
1262;0.145291
1263;0.144858
1264;0.144427
1265;0.143997
1266;0.143568
1267;0.14314
1268;0.142713
1269;0.142288
1270;0.141864
1271;0.14144
1272;0.141019
1273;0.140598
1274;0.140178
1275;0.13976
1276;0.139343
1277;0.138927
1278;0.138512
1279;0.138098
1280;0.137686
1281;0.137274
1282;0.136864
1283;0.136455
1284;0.136047
1285;0.13564
1286;0.135234
1287;0.134829
1288;0.134426
1289;0.134023
1290;0.133622
1291;0.133222
1292;0.132823
1293;0.132425
1294;0.132028
1295;0.131632
1296;0.131237
1297;0.130844
1298;0.130451
1299;0.130059
1300;0.129669
1301;0.129279
1302;0.128891
1303;0.128504
1304;0.128118
1305;0.127732
1306;0.127348
1307;0.126965
1308;0.126583
1309;0.126202
1310;0.125822
1311;0.125443
1312;0.125065
1313;0.124688
1314;0.124312
1315;0.123937
1316;0.123563
1317;0.12319
1318;0.122818
1319;0.122447
1320;0.122077
1321;0.121708
1322;0.12134
1323;0.120973
1324;0.120607
1325;0.120242
1326;0.119878
1327;0.119515
1328;0.119153
1329;0.118791
1330;0.118431
1331;0.118072
1332;0.117714
1333;0.117356
1334;0.117
1335;0.116644
1336;0.11629
1337;0.115936
1338;0.115583
1339;0.115231
1340;0.11488
1341;0.11453
1342;0.114181
1343;0.113833
1344;0.113486
1345;0.11314
1346;0.112794
1347;0.11245
1348;0.112106
1349;0.111763
1350;0.111422
1351;0.111081
1352;0.11074
1353;0.110401
1354;0.110063
1355;0.109725
1356;0.109389
1357;0.109053
1358;0.108718
1359;0.108384
1360;0.108051
1361;0.107719
1362;0.107388
1363;0.107057
1364;0.106727
1365;0.106398
1366;0.10607
1367;0.105743
1368;0.105417
1369;0.105091
1370;0.104767
1371;0.104443
1372;0.10412
1373;0.103797
1374;0.103476
1375;0.103155
1376;0.102836
1377;0.102517
1378;0.102198
1379;0.101881
1380;0.101564
1381;0.101249
1382;0.100934
1383;0.100619
1384;0.100306
1385;0.0999934
1386;0.0996816
1387;0.0993706
1388;0.0990603
1389;0.0987508
1390;0.0984421
1391;0.0981341
1392;0.0978269
1393;0.0975205
1394;0.0972149
1395;0.09691
1396;0.0966059
1397;0.0963025
1398;0.0959998
1399;0.095698
1400;0.0953968
1401;0.0950965
1402;0.0947968
1403;0.0944979
1404;0.0941997
1405;0.0939023
1406;0.0936056
1407;0.0933097
1408;0.0930144
1409;0.0927199
1410;0.0924261
1411;0.092133
1412;0.0918407
1413;0.091549
1414;0.0912581
1415;0.0909679
1416;0.0906784
1417;0.0903896
1418;0.0901015
1419;0.0898141
1420;0.0895274
1421;0.0892414
1422;0.0889561
1423;0.0886715
1424;0.0883875
1425;0.0881043
1426;0.0878217
1427;0.0875399
1428;0.0872587
1429;0.0869781
1430;0.0866983
1431;0.0864191
1432;0.0861406
1433;0.0858628
1434;0.0855857
1435;0.0853092
1436;0.0850333
1437;0.0847582
1438;0.0844836
1439;0.0842098
1440;0.0839366
1441;0.083664
1442;0.0833921
1443;0.0831209
1444;0.0828503
1445;0.0825803
1446;0.082311
1447;0.0820423
1448;0.0817743
1449;0.0815068
1450;0.0812401
1451;0.0809739
1452;0.0807084
1453;0.0804435
1454;0.0801792
1455;0.0799156
1456;0.0796526
1457;0.0793901
1458;0.0791284
1459;0.0788672
1460;0.0786066
1461;0.0783467
1462;0.0780873
1463;0.0778286
1464;0.0775704
1465;0.0773129
1466;0.077056
1467;0.0767997
1468;0.0765439
1469;0.0762888
1470;0.0760342
1471;0.0757803
1472;0.0755269
1473;0.0752742
1474;0.075022
1475;0.0747704
1476;0.0745193
1477;0.0742689
1478;0.074019
1479;0.0737698
1480;0.073521
1481;0.0732729
1482;0.0730253
1483;0.0727783
1484;0.0725319
1485;0.072286
1486;0.0720407
1487;0.071796
1488;0.0715518
1489;0.0713082
1490;0.0710651
1491;0.0708226
1492;0.0705807
1493;0.0703393
1494;0.0700984
1495;0.0698581
1496;0.0696184
1497;0.0693791
1498;0.0691405
1499;0.0689024
1500;0.0686648
1501;0.0684277
1502;0.0681912
1503;0.0679552
1504;0.0677198
1505;0.0674849
1506;0.0672505
1507;0.0670166
1508;0.0667833
1509;0.0665505
1510;0.0663182
1511;0.0660865
1512;0.0658552
1513;0.0656245
1514;0.0653943
1515;0.0651646
1516;0.0649355
1517;0.0647068
1518;0.0644787
1519;0.064251
1520;0.0640239
1521;0.0637973
1522;0.0635711
1523;0.0633455
1524;0.0631204
1525;0.0628958
1526;0.0626717
1527;0.0624481
1528;0.0622249
1529;0.0620023
1530;0.0617802
1531;0.0615585
1532;0.0613374
1533;0.0611167
1534;0.0608965
1535;0.0606768
1536;0.0604576
1537;0.0602389
1538;0.0600206
1539;0.0598029
1540;0.0595856
1541;0.0593688
1542;0.0591524
1543;0.0589366
1544;0.0587212
1545;0.0585062
1546;0.0582918
1547;0.0580778
1548;0.0578643
1549;0.0576512
1550;0.0574387
1551;0.0572265
1552;0.0570149
1553;0.0568037
1554;0.0565929
1555;0.0563826
1556;0.0561728
1557;0.0559634
1558;0.0557545
1559;0.055546
1560;0.055338
1561;0.0551304
1562;0.0549233
1563;0.0547166
1564;0.0545104
1565;0.0543046
1566;0.0540993
1567;0.0538944
1568;0.0536899
1569;0.0534859
1570;0.0532823
1571;0.0530792
1572;0.0528764
1573;0.0526742
1574;0.0524723
1575;0.0522709
1576;0.0520699
1577;0.0518694
1578;0.0516692
1579;0.0514695
1580;0.0512703
1581;0.0510714
1582;0.050873
1583;0.050675
1584;0.0504774
1585;0.0502802
1586;0.0500835
1587;0.0498871
1588;0.0496912
1589;0.0494957
1590;0.0493006
1591;0.0491059
1592;0.0489117
1593;0.0487178
1594;0.0485244
1595;0.0483313
