x_n;y_n
1.32132;1
1.32332;1
1.32533;1
1.32733;1
1.32933;1
1.33133;1
1.33333;1
1.33534;1
1.33734;1
1.33934;1
1.34134;1
1.34334;1
1.34535;1
1.34735;1
1.34935;1
1.35135;1
1.35335;1
1.35536;1
1.35736;1
1.35936;1
1.36136;1
1.36336;1
1.36537;1
1.36737;1
1.36937;1
1.37137;1
1.37337;1
1.37538;1
1.37738;1
1.37938;1
1.38138;1
1.38338;1
1.38539;1
1.38739;1
1.38939;1
1.39139;1
1.39339;1
1.3954;1
1.3974;1
1.3994;1
1.4014;1
1.4034;1
1.40541;1
1.40741;1
1.40941;1
1.41141;1
1.41341;1
1.41542;1
1.41742;1
1.41942;1
1.42142;1
1.42342;1
1.42543;1
1.42743;1
1.42943;1
1.43143;1
1.43343;1
1.43544;1
1.43744;1
1.43944;1
1.44144;1
1.44344;1
1.44545;1
1.44745;1
1.44945;1
1.45145;1
1.45345;1
1.45546;1
1.45746;1
1.45946;1
1.46146;1
1.46346;1
1.46547;1
1.46747;1
1.46947;1
1.47147;1
1.47347;1
1.47548;1
1.47748;1
1.47948;1
1.48148;1
1.48348;1
1.48549;1
1.48749;1
1.48949;1
1.49149;1
1.49349;1
1.4955;1
1.4975;1
1.4995;1
1.5015;1
1.5035;1
1.50551;1
1.50751;1
1.50951;1
1.51151;1
1.51351;1
1.51552;1
1.51752;1
1.51952;1
1.52152;1
1.52352;1
1.52553;1
1.52753;1
1.52953;1
1.53153;1
1.53353;1
1.53554;1
1.53754;1
1.53954;1
1.54154;1
1.54354;1
1.54555;1
1.54755;1
1.54955;1
1.55155;1
1.55355;1
1.55556;1
1.55756;1
1.55956;1
1.56156;1
1.56356;1
1.56557;1
1.56757;1
1.56957;1
1.57157;1
1.57357;1
1.57558;1
1.57758;1
1.57958;1
1.58158;1
1.58358;1
1.58559;1
1.58759;1
1.58959;1
1.59159;1
1.59359;1
1.5956;1
1.5976;1
1.5996;1
1.6016;1
1.6036;1
1.60561;1
1.60761;1
1.60961;1
1.61161;1
1.61361;1
1.61562;1
1.61762;1
1.61962;1
1.62162;1
1.62362;1
1.62563;1
1.62763;1
1.62963;1
1.63163;1
1.63363;1
1.63564;1
1.63764;1
1.63964;1
1.64164;1
1.64364;1
1.64565;1
1.64765;1
1.64965;1
1.65165;1
1.65365;1
1.65566;1
1.65766;1
1.65966;1
1.66166;1
1.66366;1
1.66567;1
1.66767;1
1.66967;1
1.67167;1
1.67367;1
1.67568;1
1.67768;1
1.67968;1
1.68168;1
1.68368;1
1.68569;1
1.68769;1
1.68969;1
1.69169;1
1.69369;1
1.6957;1
1.6977;1
1.6997;1
1.7017;1
1.7037;1
1.70571;1
1.70771;1
1.70971;1
1.71171;1
1.71371;1
1.71572;1
1.71772;1
1.71972;1
1.72172;1
1.72372;1
1.72573;1
1.72773;1
1.72973;1
1.73173;1
1.73373;1
1.73574;1
1.73774;1
1.73974;1
1.74174;1
1.74374;1
1.74575;1
1.74775;1
1.74975;1
1.75175;1
1.75375;1
1.75576;1
1.75776;1
1.75976;1
1.76176;1
1.76376;1
1.76577;1
1.76777;1
1.76977;1
1.77177;1
1.77377;1
1.77578;1
1.77778;1
1.77978;1
1.78178;1
1.78378;1
1.78579;1
1.78779;1
1.78979;1
1.79179;1
1.79379;1
1.7958;1
