x;y
1.75147;0.31326
1.77104;0.306082
1.79061;0.298935
1.81018;0.291821
1.82975;0.284744
1.84932;0.277705
1.86888;0.270709
1.88845;0.263759
1.90802;0.256856
1.92759;0.250005
1.94716;0.243208
1.96673;0.236467
1.9863;0.229786
2.00587;0.223168
2.02544;0.216616
2.04501;0.210131
2.06458;0.203718
2.08415;0.197379
2.10372;0.191116
2.12329;0.184933
2.14286;-nan
2.16243;0.172816
2.182;0.166887
2.20157;0.161048
2.22114;0.155302
2.2407;0.149651
2.26027;0.144098
2.27984;0.138645
2.29941;0.133294
2.31898;0.128049
2.33855;0.122911
2.35812;0.117883
2.37769;0.112967
2.39726;0.108165
2.41683;0.10348
2.4364;0.0989128
2.45597;0.0944666
2.47554;0.0901431
2.49511;0.0859442
2.51468;0.0818719
2.53425;0.0779281
2.55382;0.0741145
2.57339;0.0704329
2.59295;0.066885
2.61252;0.0634723
2.63209;0.0601965
2.65166;0.057059
2.67123;0.0540612
2.6908;0.0512045
2.71037;0.0484901
2.72994;0.0459192
2.74951;0.0434929
2.76908;0.0412122
2.78865;0.0390782
2.80822;0.0370916
2.82779;0.0352533
2.84736;0.0335639
2.86693;0.0320241
2.8865;0.0306344
2.90607;0.0293951
2.92564;0.0283067
2.94521;0.0273694
2.96477;0.0265832
2.98434;0.0259483
3.00391;0.0254645
3.02348;0.0251318
3.04305;0.0249497
3.06262;0.024918
3.08219;0.0250361
3.10176;0.0253034
3.12133;0.0257192
3.1409;0.0262826
3.16047;0.0269928
3.18004;0.0278485
3.19961;0.0288486
3.21918;0.0299918
3.23875;0.0312765
3.25832;0.0327013
3.27789;0.0342643
3.29746;0.0359638
3.31703;0.0377977
3.33659;0.0397638
3.35616;0.04186
3.37573;0.0440838
3.3953;0.0464326
3.41487;0.0489038
3.43444;0.0514944
3.45401;0.0542014
3.47358;0.0570217
3.49315;0.059952
3.51272;0.0629887
3.53229;0.0661283
3.55186;0.0693668
3.57143;-nan
3.591;0.0761247
3.61057;0.0796356
3.63014;0.0832286
3.64971;0.0868989
3.66928;0.0906417
3.68885;0.094452
3.70841;0.0983246
3.72798;0.102254
3.74755;0.106235
3.76712;0.110261
3.78669;0.114326
3.80626;0.118425
3.82583;0.122551
3.8454;0.126697
3.86497;0.130857
3.88454;0.135023
3.90411;0.139189
3.92368;0.143347
3.94325;0.147489
3.96282;0.151607
3.98239;0.155694
4.00196;0.159741
4.02153;0.163739
4.0411;0.167681
4.06067;0.171556
4.08023;0.175356
4.0998;0.179071
4.11937;0.182691
4.13894;0.186207
4.15851;0.189609
4.17808;0.192885
4.19765;0.196026
4.21722;0.19902
4.23679;0.201856
4.25636;0.204523
4.27593;0.207009
4.2955;0.209302
4.31507;0.21139
4.33464;0.21326
4.35421;0.2149
4.37378;0.216296
4.39335;0.217435
4.41292;0.218303
4.43249;0.218887
4.45205;0.219172
4.47162;0.219144
4.49119;0.218788
4.51076;0.218088
4.53033;0.217031
4.5499;0.215599
4.56947;0.213777
4.58904;0.211548
4.60861;0.208896
4.62818;0.205804
4.64775;0.202255
4.66732;0.19823
4.68689;0.193713
4.70646;0.188684
4.72603;0.183126
4.7456;0.177019
4.76517;0.170345
4.78474;0.163082
4.80431;0.155213
4.82387;0.146715
4.84344;0.137569
4.86301;0.127754
4.88258;0.117247
4.90215;0.106029
4.92172;0.0940755
4.94129;0.0813652
4.96086;0.0678749
4.98043;0.0535816
5;-nan
